ident;name;latitude_deg;longitude_deg;elevation_ft
RKJK;Kunsan Air Base;35,90380096;126,6159973;29
RKPC;Jeju International Airport;33,51129913;126,4929962;118
RKPK;Gimhae International Airport;35,17950058;128,9380035;6
RKSI;Incheon International Airport;37,46910095;126,4509964;23
RKSO;Osan Air Base;37,09059906;127,0299988;38
RKSS;Gimpo International Airport;37,55830002;126,7910004;58
RKTU;Cheongju International Airport;36,71659851;127,4990005;191
ROAH;Naha Airport;26,19580078;127,6460037;12
RODN;Kadena Air Base;26,35560036;127,7679977;143
RPLC;Clark International Airport;15,18599987;120,5599976;484
RPLL;Ninoy Aquino International Airport;14,50860024;121,0199966;75
RPMD;Francisco Bangoy International Airport;7,125520229;125,6460037;96
RPVM;Mactan Cebu International Airport;10,30749989;123,9789963;31
RU-0016;Lipetsk Air Base;52,63499832;39,44499969;636
RU-0035;Grozny North Airport;43,38830185;45,69860077;
RU-2244;Ukrainka Air Base;51,16999817;128,4450073;771
RU-4464;Olenya Air Base;68,15180206;33,46390152;702
SAEZ;Ministro Pistarini International Airport;-34,8222;-58,5358;67
SBBE;Val de Cans/Júlio Cezar Ribeiro International Airport;-1,37925005;-48,47629929;54
SBBR;Presidente Juscelino Kubistschek International Airport;-15,86916733;-47,92083359;3497
SBCF;Tancredo Neves International Airport;-19,62444305;-43,9719429;2715
SBCT;Afonso Pena Airport;-25,5284996;-49,17580032;2988
SBFL;Hercílio Luz International Airport;-27,67027855;-48,55250168;16
SBGL;RIOgaleão – Tom Jobim International Airport;-22,80999947;-43,25055695;28
SBGR;Guarulhos - Governador André Franco Montoro International Airport;-23,43555641;-46,47305679;2459
SBSG;Governador Aluízio Alves International Airport;-5,768056;-35,376111;272
SBSP;Congonhas Airport;-23,62611008;-46,65638733;2631
SBSV;Deputado Luiz Eduardo Magalhães International Airport;-12,9086113;-38,32249832;64
SCEL;Comodoro Arturo Merino Benítez International Airport;-33,39300156;-70,78579712;1555
SELT;Cotopaxi International Airport;-0,906832993;-78,61579895;9205
SEQM;Mariscal Sucre International Airport;-0,129166667;-78,3575;7841
SKBO;El Dorado International Airport;4,70159;-74,1469;8361
SPIM;Jorge Chávez International Airport;-12,02190018;-77,11430359;113
SPZO;Alejandro Velasco Astete International Airport;-13,53569984;-71,938797;10860
SUMU;Carrasco International /General C L Berisso Airport;-34,83840179;-56,03079987;105
TJSJ;Luis Munoz Marin International Airport;18,43939972;-66,00180054;9
TN-0002;Enfidha - Hammamet International Airport;36,075833;10,438611;21
TNCM;Princess Juliana International Airport;18,04100037;-63,10889816;13
UAAA;Almaty Airport;43,35210037;77,04049683;2234
UACC;Astana International Airport;51,02220154;71,46690369;1165
UAFM;Manas International Airport;43,06129837;74,4776001;2058
UAKK;Sary-Arka Airport;49,67079926;73,33439636;1765
UBBB;Heydar Aliyev International Airport;40,46749878;50,04669952;10
UDYZ;Zvartnots International Airport;40,14730072;44,39590073;2838
UGTB;Tbilisi International Airport;41,6692009;44,95470047;1624
UKBB;Boryspil International Airport;50,34500122;30,8946991;427
UKCC;Donetsk International Airport;48,07360077;37,73970032;791
UKFF;Simferopol International Airport;45,05220032;33,97510147;639
UKHH;Kharkiv International Airport;49,92480087;36,29000092;508
UKOO;Odessa International Airport;46,42679977;30,67650032;172
ULLI;Pulkovo Airport;59,8003006;30,26250076;78
UMMS;Minsk International Airport;53,88249969;28,03070068;670
UNKL;Yemelyanovo Airport;56,17290115;92,49330139;942
URSS;Sochi International Airport;43,44990158;39,95660019;89
USSS;Koltsovo Airport;56,74309921;60,80270004;764
UTTT;Tashkent International Airport;41,25790024;69,28119659;1417
UUBW;Ramenskoye Airport;55,55329895;38,15000153;377
UUDD;Domodedovo International Airport;55,40879822;37,90629959;588
UUEE;Sheremetyevo International Airport;55,97259903;37,41460037;622
UUMU;Chkalovskiy Airport;55,87829971;38,06169891;499
UUWW;Vnukovo International Airport;55,59149933;37,26150131;685
UWUU;Ufa International Airport;54,55749893;55,87440109;449
UWWW;Kurumoch International Airport;53,50490189;50,16429901;477
VABB;Chhatrapati Shivaji International Airport;19,08869934;72,86789703;39
VAGO;Dabolim Airport;15,38080025;73,83139801;150
VCBI;Bandaranaike International Colombo Airport;7,180759907;79,88410187;30
VCRI;Mattala Rajapaksa International Airport;6,284467;81,124128;
VDPP;Phnom Penh International Airport;11,54660034;104,8440018;40
VDSR;Siem Reap International Airport;13,41069984;103,8130035;60
VECC;Netaji Subhash Chandra Bose International Airport;22,65469933;88,44670105;16
VHHH;Chek Lap Kok International Airport;22,30890083;113,9150009;28
VIAR;Sri Guru Ram Dass Jee International Airport;31,70960045;74,79730225;756
VIDP;Indira Gandhi International Airport;28,56649971;77,10310364;777
VISM;Shimla Airport;31,08180046;77,06800079;5072
VMMC;Macau International Airport;22,14959908;113,5920029;20
VOBL;Bengaluru International Airport;13,19789982;77,70629883;3000
VOCI;Cochin International Airport;10,15200043;76,40190125;30
VOCL;Calicut International Airport;11,13679981;75,95529938;342
VOHS;Rajiv Gandhi International Airport;17,23131752;78,42985535;2024
VOMM;Chennai International Airport;12,99000549;80,16929626;52
VOTV;Trivandrum International Airport;8,48211956;76,92009735;15
VRMM;Malé International Airport;4,191830158;73,52909851;6
VTBD;Don Mueang International Airport;13,91259956;100,6070023;9
VTBS;Suvarnabhumi Airport;13,68109989;100,7470016;5
VTCC;Chiang Mai International Airport;18,76679993;98,96260071;1036
VVDN;Da Nang International Airport;16,04389954;108,1989975;33
VVNB;Noi Bai International Airport;21,22120094;105,8069992;39
VVTS;Tan Son Nhat International Airport;10,81879997;106,6520004;33
VYMD;Mandalay International Airport;21,70219994;95,97789764;300
VYYY;Yangon International Airport;16,90730095;96,1332016;109
WAAA;Hasanuddin International Airport;-5,061629772;119,5540009;47
WADD;Ngurah Rai (Bali) International Airport;-8,748169899;115,1669998;14
WARR;Juanda International Airport;-7,379829884;112,7870026;9
WBSB;Brunei International Airport;4,944200039;114,9280014;73
WIII;Soekarno-Hatta International Airport;-6,12556982;106,6559982;34
WMKK;Kuala Lumpur International Airport;2,745579958;101,7099991;69
WSSS;Singapore Changi International Airport;1,350190043;103,9940033;22
YBBN;Brisbane International Airport;-27,38419914;153,1170044;13
YMML;Melbourne International Airport;-37,6733017;144,8430023;434
YPPH;Perth International Airport;-31,94029999;115,9670029;67
YSCB;Canberra International Airport;-35,30690002;149,1950073;1886
YSSY;Sydney Kingsford Smith International Airport;-33,94609833;151,177002;21
ZBAA;Beijing Capital International Airport;40,08010101;116,5849991;116
ZBNY;Beijing Nanyuan Airport;39,78279877;116,3880005;
ZBTJ;Tianjin Binhai International Airport;39,12440109;117,3460007;10
ZBYN;Taiyuan Wusu Airport;37,74689865;112,6279984;2575
ZGGG;Guangzhou Baiyun International Airport;23,39240074;113,2990036;50
ZGHA;Changsha Huanghua International Airport;28,18919945;113,2200012;217
ZGKL;Guilin Liangjiang International Airport;25,21809959;110,0390015;570
ZGNN;Nanning Wuxu Airport;22,60829926;108,1719971;421
ZGSZ;Shenzhen Bao'an International Airport;22,63929939;113,810997;13
ZHCC;Zhengzhou Xinzheng International Airport;34,5196991;113,8410034;495
ZHHH;Wuhan Tianhe International Airport;30,78380013;114,2080002;113
ZJHK;Haikou Meilan International Airport;19,93490028;110,4589996;75
ZJSY;Sanya Phoenix International Airport;18,30290031;109,4120026;92
ZLXY;Xi'an Xianyang International Airport;34,44710159;108,7519989;1572
ZPPP;Kunming Wujiaba International Airport;24,99239922;102,7440033;6217
ZSAM;Xiamen Gaoqi International Airport;24,54400063;118,1279984;59
ZSFZ;Fuzhou Changle International Airport;25,93510056;119,663002;46
ZSHC;Hangzhou Xiaoshan International Airport;30,22949982;120,4339981;23
ZSJN;Yaoqiang Airport;36,85720062;117,2160034;76
ZSNB;Ningbo Lishe International Airport;29,82670021;121,461998;13
ZSNJ;Nanjing Lukou Airport;31,74200058;118,8619995;49
ZSPD;Shanghai Pudong International Airport;31,14340019;121,8050003;13
ZSSS;Shanghai Hongqiao International Airport;31,19790077;121,3359985;10
ZSWZ;Wenzhou Yongqiang Airport;27,91220093;120,8519974;
ZUCK;Chongqing Jiangbei International Airport;29,71920013;106,6419983;1365
ZUGY;Longdongbao Airport;26,53849983;106,8010025;3736
ZUUU;Chengdu Shuangliu International Airport;30,57850075;103,9469986;1625
ZWWW;Ürümqi Diwopu International Airport;43,90710068;87,47419739;2125
ZYHB;Taiping Airport;45,62340164;126,25;457
ZYTL;Zhoushuizi Airport;38,96569824;121,5390015;107
ZYTX;Taoxian Airport;41,63980103;123,4830017;198
