ident;name;latitude_deg;longitude_deg;elevation_ft
FAJS;OR Tambo International Airport;-26,13920021;28,24600029;5558
FALE;King Shaka International Airport;-29,61444444;31,11972222;295
GCLP;Gran Canaria Airport;27,93190002;-15,38659954;78
GCTS;Tenerife South Airport;28,04450035;-16,57250023;209
GCXO;Tenerife Norte Airport;28,48270035;-16,34149933;2076
GMMN;Mohammed V International Airport;33,36750031;-7,589970112;656
GOOY;Léopold Sédar Senghor International Airport;14,73970032;-17,49020004;85
HAAB;Addis Ababa Bole International Airport;8,977890015;38,79930115;7630
HECA;Cairo International Airport;30,12190056;31,40559959;382
HEGN;Hurghada International Airport;27,17830086;33,79940033;52
HKJK;Jomo Kenyatta International Airport;-1,319239974;36,92779922;5330
HKMO;Mombasa Moi International Airport;-4,034830093;39,59420013;200
HLLT;Tripoli International Airport;32,66350174;13,1590004;263
HSSJ;Juba International Airport;4,872010231;31,60110092;1513
HSSS;Khartoum International Airport;15,58950043;32,55319977;1265
ID-0017;Sungai Siring International Airport;-0,373611;117,255556;82
ID-0018;Medan/Kuala Namu International Airport;3,642222;98,885278;
KABQ;Albuquerque International Sunport Airport;35,04019928;-106,6090012;5355
KADW;Andrews Air Force Base;38,81079865;-76,86699677;280
KAFW;Fort Worth Alliance Airport;32,98759842;-97,31880188;722
KAGS;Augusta Regional At Bush Field;33,36989975;-81,96450043;144
KAMA;Rick Husband Amarillo International Airport;35,2193985;-101,7060013;3607
KATL;Hartsfield Jackson Atlanta International Airport;33,63669968;-84,42810059;1026
KAUS;Austin Bergstrom International Airport;30,19449997;-97,66989899;542
KAVL;Asheville Regional Airport;35,43619919;-82,54180145;2165
KBAB;Beale Air Force Base;39,13610077;-121,4369965;113
KBAD;Barksdale Air Force Base;32,50180054;-93,66269684;166
KBDL;Bradley International Airport;41,93889999;-72,68319702;173
KBFI;Boeing Field King County International Airport;47,52999878;-122,302002;21
KBGR;Bangor International Airport;44,80739975;-68,82810211;192
KBHM;Birmingham-Shuttlesworth International Airport;33,56290054;-86,75350189;650
KBIL;Billings Logan International Airport;45,80770111;-108,5429993;3652
KBLV;Scott AFB/Midamerica Airport;38,54520035;-89,83519745;459
KBMI;Central Illinois Regional Airport at Bloomington-Normal;40,47710037;-88,91590118;871
KBNA;Nashville International Airport;36,12450027;-86,67819977;599
KBOI;Boise Air Terminal/Gowen field;43,56439972;-116,2229996;2871
KBOS;General Edward Lawrence Logan International Airport;42,36429977;-71,00520325;20
KBTR;Baton Rouge Metropolitan, Ryan Field;30,53319931;-91,14959717;70
KBUF;Buffalo Niagara International Airport;42,94049835;-78,73220062;728
KBWI;Baltimore/Washington International Thurgood Marshall Airport;39,17539978;-76,66829681;146
KCAE;Columbia Metropolitan Airport;33,93880081;-81,11949921;236
KCBM;Columbus Air Force Base;33,64379883;-88,44380188;219
KCHA;Lovell Field;35,03530121;-85,20379639;683
KCHS;Charleston Air Force Base-International Airport;32,89860153;-80,04049683;46
KCID;The Eastern Iowa Airport;41,88470078;-91,71080017;869
KCLE;Cleveland Hopkins International Airport;41,4117012;-81,84980011;791
KCLT;Charlotte Douglas International Airport;35,2140007;-80,94309998;748
KCMH;Port Columbus International Airport;39,9980011;-82,89189911;815
KCOS;City of Colorado Springs Municipal Airport;38,80580139;-104,7009964;6187
KCPR;Casper-Natrona County International Airport;42,90800095;-106,4639969;5350
KCRP;Corpus Christi International Airport;27,77039909;-97,50119781;44
KCRW;Yeager Airport;38,37310028;-81,59320068;981
KCVG;Cincinnati Northern Kentucky International Airport;39,04880142;-84,6678009;896
KCVS;Cannon Air Force Base;34,38280106;-103,3219986;4295
